source	target	weight
cook	hire	0.046
hire	wanted	0.046
hire	house	0.0455
hire	negro	0.044
hire	woman	0.043
hire	office	0.0405
negroes	servant	0.039
ja	negroes	0.037500000000000006
cook	negroes	0.035
negroes	wanted	0.035
house	negroes	0.0345
negro	negroes	0.033
negroes	woman	0.032
negroes	office	0.0295
ja	servant	0.036500000000000005
cook	servant	0.034
servant	wanted	0.034
house	servant	0.0335
negro	servant	0.032
servant	woman	0.031
office	servant	0.028499999999999998
cook	ja	0.0325
ja	wanted	0.0325
house	ja	0.032
ja	negro	0.0305
ja	woman	0.029500000000000002
ja	office	0.027000000000000003
cook	wanted	0.03
cook	house	0.0295
cook	negro	0.027999999999999997
cook	woman	0.027
cook	office	0.0245
house	wanted	0.0295
negro	wanted	0.027999999999999997
wanted	woman	0.027
office	wanted	0.0245
house	negro	0.0275
house	woman	0.026500000000000003
house	office	0.024
negro	woman	0.025
negro	office	0.0225
office	woman	0.0215
country	yankee	0.008
life	yankee	0.007
yankee	yankees	0.007
think	yankee	0.006500000000000001
hope	yankee	0.006500000000000001
better	yankee	0.006500000000000001
enough	yankee	0.006500000000000001
work	yankee	0.006500000000000001
city	yankee	0.006500000000000001
country	life	0.005
country	yankees	0.005
country	think	0.0045000000000000005
country	hope	0.0045000000000000005
better	country	0.0045000000000000005
country	enough	0.0045000000000000005
country	work	0.0045000000000000005
city	country	0.0045000000000000005
life	yankees	0.004
life	think	0.0035
hope	life	0.0035
better	life	0.0035
enough	life	0.0035
life	work	0.0035
city	life	0.0035
think	yankees	0.0035
hope	yankees	0.0035
better	yankees	0.0035
enough	yankees	0.0035
work	yankees	0.0035
city	yankees	0.0035
hope	think	0.003
better	think	0.003
enough	think	0.003
think	work	0.003
city	think	0.003
better	hope	0.003
enough	hope	0.003
hope	work	0.003
city	hope	0.003
better	enough	0.003
better	work	0.003
better	city	0.003
enough	work	0.003
city	enough	0.003
city	work	0.003
miss	mrs	0.0825
gray	mrs	0.07200000000000001
mrs	stuart	0.0685
harris	mrs	0.067
mrs	wheeler	0.0665
mrs	wilson	0.064
mrs	phillips	0.0635
bradley	mrs	0.0625
gaines	mrs	0.062
gray	miss	0.040499999999999994
miss	stuart	0.037
harris	miss	0.0355
miss	wheeler	0.034999999999999996
miss	wilson	0.0325
miss	phillips	0.032
bradley	miss	0.031
gaines	miss	0.0305
gray	stuart	0.0265
gray	harris	0.025
gray	wheeler	0.0245
gray	wilson	0.022
gray	phillips	0.0215
bradley	gray	0.020499999999999997
gaines	gray	0.02
harris	stuart	0.0215
stuart	wheeler	0.020999999999999998
stuart	wilson	0.0185
phillips	stuart	0.018
bradley	stuart	0.017
gaines	stuart	0.0165
harris	wheeler	0.0195
harris	wilson	0.017
harris	phillips	0.0165
bradley	harris	0.0155
gaines	harris	0.015
wheeler	wilson	0.0165
phillips	wheeler	0.016
bradley	wheeler	0.015
gaines	wheeler	0.014499999999999999
phillips	wilson	0.0135
bradley	wilson	0.0125
gaines	wilson	0.012
bradley	phillips	0.012
gaines	phillips	0.0115
bradley	gaines	0.010499999999999999
court	sale	0.023
auction	sale	0.022
property	sale	0.020499999999999997
sale	sell	0.02
clock	sale	0.0195
february	sale	0.019
sale	sold	0.019
estate	sale	0.019
county	sale	0.0185
auction	court	0.019
court	property	0.0175
court	sell	0.017
clock	court	0.0165
court	february	0.016
